iteration,thread
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,2
23,1
24,2
25,1
26,2
27,2
28,1
29,2
30,1
31,2
32,2
33,1
34,2
35,2
36,1
37,2
38,2
39,1
40,2
41,2
42,1
43,2
44,2
45,1
46,2
47,2
48,1
49,2
50,2
51,1
52,2
53,2
54,1
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,2
63,1
64,2
65,2
66,1
67,2
68,2
69,1
70,2
71,2
72,1
73,2
74,2
75,1
76,2
77,2
78,0
79,1
80,2
81,2
82,0
83,1
84,2
85,0
86,2
87,0
88,1
89,2
90,0
91,2
92,1
93,0
94,2
95,0
96,1
97,2
98,0
99,2
100,0
101,2
102,1
103,2
104,0
105,2
106,1
107,0
108,2
109,2
110,1
111,0
112,2
113,0
114,1
115,2
116,0
117,2
118,1
119,0
120,2
121,0
122,2
123,1
124,2
125,0
126,2
127,0
128,1
129,2
130,0
131,2
132,1
133,0
134,2
135,2
136,0
137,1
138,2
139,0
140,2
141,0
142,1
143,2
144,0
145,0
146,2
147,3
148,1
149,0
150,2
151,3
152,0
153,2
154,3
155,1
156,2
157,0
158,3
159,2
160,1
161,3
162,0
163,2
164,3
165,0
166,2
167,1
168,3
169,0
170,3
171,2
172,3
173,0
174,1
175,3
176,0
177,2
178,3
179,1
180,0
181,3
182,2
183,0
184,3
185,1
186,0
187,3
188,2
189,0
190,3
191,1
192,0
193,3
194,2
195,0
196,1
197,3
198,0
199,3
200,2
201,1
202,3
203,0
204,3
205,2
206,0
207,1
208,3
209,3
210,0
211,3
212,2
213,1
214,3
215,0
216,3
217,2
218,0
219,1
220,3
221,0
222,3
223,2
224,1
225,0
226,3
227,3
228,0
229,2
230,1
231,3
232,0
233,3
234,2
235,3
236,0
237,1
238,3
239,0
240,2
241,3
242,0
243,3
244,1
245,0
246,3
247,2
248,1
249,0
250,2
251,3
252,0
253,1
254,0
255,2
256,3
257,0
258,1
259,0
260,2
261,3
262,1
263,0
264,2
265,3
266,0
267,1
268,0
269,0
270,2
271,3
272,1
273,0
274,2
275,3
276,1
277,0
278,3
279,0
280,2
281,1
282,0
283,0
284,3
285,2
286,1
287,0
288,1
289,2
290,3
291,0
292,0
293,1
294,2
295,3
296,0
297,0
298,1
299,3
300,2
301,0
302,0
303,1
304,3
305,2
306,0
307,1
308,3
309,2
310,0
311,1
312,3
313,2
314,0
315,1
316,3
317,0
318,2
319,3
320,0
321,1
322,2
323,3
324,1
325,0
326,2
327,3
328,1
329,0
330,2
331,3
332,1
333,0
334,2
335,3
336,0
337,1
338,2
339,3
340,1
341,2
342,0
343,3
344,1
345,2
346,0
347,3
348,1
349,0
350,2
351,3
352,1
353,0
354,2
355,3
356,1
357,0
358,2
359,3
360,1
361,2
362,0
363,3
364,1
365,2
366,0
367,3
368,1
369,2
370,0
371,3
372,1
373,2
374,0
375,3
376,1
377,2
378,0
379,3
380,1
381,2
382,0
383,3
384,1
385,2
386,0
387,3
388,1
389,2
390,0
391,3
392,1
393,2
394,0
395,3
396,1
397,2
398,0
399,3
400,1
401,2
402,0
403,3
404,1
405,2
406,0
407,3
408,1
409,2
410,0
411,3
412,1
413,2
414,0
415,3
416,1
417,2
418,0
419,3
420,1
421,2
422,0
423,3
424,1
425,2
426,0
427,3
428,1
429,2
430,3
431,0
432,1
433,2
434,3
435,0
436,1
437,2
438,3
439,0
440,1
441,2
442,3
443,0
444,1
445,2
446,3
447,0
448,2
449,1
450,3
451,0
452,2
453,1
454,3
455,0
456,2
457,1
458,3
459,0
460,2
461,1
462,0
463,3
464,1
465,2
466,3
467,0
468,1
469,2
470,3
471,0
472,1
473,2
474,3
475,0
476,2
477,1
478,3
479,0
480,2
481,1
482,3
483,0
484,2
485,1
486,3
487,0
488,2
489,1
490,3
491,0
492,2
493,1
494,3
495,0
496,2
497,1
498,3
499,0
500,2
501,1
502,3
503,0
504,2
505,1
506,3
507,0
508,2
509,1
510,3
511,0
512,1
513,2
514,3
515,0
516,1
517,2
518,3
519,0
520,1
521,2
522,3
523,0
524,1
525,2
526,3
527,0
528,1
529,2
530,3
531,0
532,1
533,2
534,3
535,0
536,1
537,2
538,3
539,0
540,1
541,2
542,3
543,0
544,1
545,2
546,3
547,0
548,1
549,2
550,3
551,0
552,1
553,2
554,3
555,0
556,1
557,2
558,3
559,0
560,1
561,2
562,3
563,0
564,1
565,2
566,3
567,0
568,1
569,2
570,0
571,3
572,1
573,2
574,0
575,3
576,1
577,2
578,0
579,3
580,1
581,2
582,0
583,3
584,1
585,2
586,0
587,3
588,1
589,2
590,0
591,3
592,1
593,2
594,0
595,3
596,1
597,2
598,0
599,3
600,1
601,2
602,3
603,0
604,1
605,2
606,0
607,3
608,1
609,2
610,0
611,3
612,1
613,2
614,3
615,0
616,1
617,2
618,3
619,0
620,1
621,2
622,3
623,0
624,1
625,2
626,3
627,0
628,1
629,2
630,3
631,0
632,1
633,2
634,3
635,0
636,1
637,2
638,3
639,0
640,1
641,2
642,3
643,0
644,1
645,2
646,3
647,0
648,1
649,2
650,3
651,0
652,1
653,2
654,0
655,3
656,1
657,2
658,0
659,3
660,1
661,2
662,3
663,0
664,1
665,2
666,3
667,0
668,1
669,2
670,3
671,0
672,1
673,2
674,3
675,0
676,1
677,2
678,3
679,0
680,1
681,3
682,0
683,2
684,1
685,3
686,0
687,2
688,1
689,3
690,2
691,0
692,1
693,2
694,3
695,0
696,1
697,0
698,2
699,3
700,1
701,0
702,2
703,3
704,1
705,0
706,2
707,1
708,3
709,0
710,2
711,3
712,1
713,0
714,2
715,3
716,1
717,0
718,1
719,2
720,3
721,0
722,3
723,2
724,1
725,0
726,3
727,1
728,2
729,0
730,3
731,1
732,2
733,0
734,3
735,1
736,2
737,0
738,3
739,1
740,2
741,0
742,3
743,1
744,2
745,0
746,1
747,3
748,2
749,0
750,1
751,2
752,3
753,0
754,1
755,2
756,3
757,0
758,1
759,2
760,3
761,0
762,2
763,1
764,3
765,0
766,1
767,2
768,3
769,0
770,1
771,2
772,3
773,0
774,1
775,3
776,2
777,0
778,1
779,3
780,2
781,0
782,1
783,3
784,2
785,0
786,1
787,3
788,2
789,0
790,1
791,3
792,2
793,3
794,0
795,1
796,2
797,0
798,3
799,1
800,2
801,0
802,3
803,1
804,2
805,0
806,3
807,1
808,2
809,0
810,1
811,3
