threads,time_mean,time_std,speedup,speedup_std
1,1.325440600,0.002147086,1.000000,0.002291
2,0.663385000,0.000809243,1.997996,0.004052
3,0.443882900,0.001353837,2.986014,0.010312
4,0.333525100,0.000466833,3.974036,0.008508
5,0.267015400,0.000359493,4.963911,0.010456
6,0.222689900,0.000188203,5.951957,0.010875
7,0.190980700,0.000018909,6.940181,0.011263
8,0.167141500,0.000024117,7.930051,0.012897
9,0.148623100,0.000024159,8.918133,0.014519
10,0.133813000,0.000024631,9.905171,0.016149
11,0.121681200,0.000023151,10.892731,0.017766
12,0.111564400,0.000111528,11.880498,0.022615
13,0.103025500,0.000103464,12.865170,0.024520
14,0.095683900,0.000132869,13.852284,0.029556
15,0.089379100,0.000018681,14.829424,0.024221
16,0.083838000,0.000026386,15.809545,0.026089
17,0.078962000,0.000028067,16.785803,0.027838
18,0.074595900,0.000046309,17.768277,0.030824
19,0.070709300,0.000037874,18.744926,0.031982
20,0.067198700,0.000064689,19.724200,0.037167
21,0.064053100,0.000030559,20.692841,0.034944
22,0.061156100,0.000018935,21.673073,0.035744
23,0.058524300,0.000067032,22.647697,0.044931
24,0.056135400,0.000036861,23.611493,0.041271
25,0.054006700,0.000291003,24.542151,0.138087
26,0.051876600,0.000072287,25.549874,0.054594
27,0.049927000,0.000112109,26.547571,0.073505
28,0.048219100,0.000243288,27.487875,0.145662
29,0.046535400,0.000083448,28.482416,0.068829
30,0.045012700,0.000071895,29.445925,0.066987
31,0.043611400,0.000141870,30.392067,0.110447
32,0.042401900,0.000313434,31.258991,0.236549
33,0.041011200,0.000069488,32.318991,0.075760
34,0.039908800,0.000279582,33.211738,0.238805
35,0.038755200,0.000085311,34.200329,0.093472
36,0.037736500,0.000196052,35.123570,0.191141
37,0.036806100,0.000257554,36.011438,0.258657
38,0.035780900,0.000072086,37.043244,0.095761
39,0.035128700,0.000376373,37.730989,0.408848
40,0.034199400,0.000259168,38.756253,0.300336
41,0.033365500,0.000266736,39.724883,0.324029
42,0.032645700,0.000259100,40.600771,0.328880
43,0.031999300,0.000351157,41.420925,0.459475
44,0.031258100,0.000269352,42.403108,0.371789
45,0.030492800,0.000039715,43.467330,0.090350
46,0.030028700,0.000338142,44.139127,0.502151
47,0.029379400,0.000267344,45.114625,0.416984
48,0.028777100,0.000297034,46.058866,0.481233
49,0.028148600,0.000039685,47.087265,0.101120
50,0.027618900,0.000020599,47.990347,0.085584
51,0.027202300,0.000274278,48.725314,0.497592
52,0.026632900,0.000037135,49.767040,0.106369
53,0.026235000,0.000232113,50.521845,0.454421
54,0.025807800,0.000290773,51.358140,0.584596
55,0.025408300,0.000310948,52.165655,0.643974
56,0.024859700,0.000043800,53.316838,0.127608
57,0.024508300,0.000129672,54.081295,0.299252
58,0.024154300,0.000178823,54.873898,0.415863
59,0.023882200,0.000386530,55.499100,0.902734
60,0.023458600,0.000309133,56.501266,0.750167
61,0.023013100,0.000029637,57.595048,0.119189
62,0.022831500,0.000363390,58.053155,0.928758
63,0.022485500,0.000315313,58.946459,0.832099
64,0.022156800,0.000321383,59.820940,0.873093
65,0.021679800,0.000027129,61.137123,0.125143
66,0.021430400,0.000042075,61.848617,0.157425
67,0.021232400,0.000301570,62.425378,0.892394
68,0.021053600,0.000357429,62.955533,1.073656
69,0.020661800,0.000115748,64.149329,0.374088
70,0.020594700,0.000399256,64.358335,1.252022
71,0.020264200,0.000379656,65.407990,1.230011
72,0.019959800,0.000324608,66.405505,1.085302
73,0.041456300,0.003961137,31.971995,3.055353
74,0.040807400,0.003497764,32.480398,2.784521
75,0.042620500,0.004880060,31.098664,3.561163
76,0.042049300,0.003577558,31.521110,2.682305
77,0.045373200,0.009625762,29.211971,6.197396
78,0.043070300,0.001819429,30.773888,1.300944
79,0.050297000,0.015459314,26.352279,8.099764
80,0.042057000,0.002115669,31.515339,1.586194
81,0.042579000,0.000874003,31.128974,0.640959
82,0.046068200,0.007474707,28.771270,4.668460
83,0.042655000,0.002461213,31.073511,1.793662
84,0.047140400,0.009700643,28.116872,5.786124
85,0.041883400,0.002518594,31.645965,1.903672
86,0.041869500,0.002540713,31.656471,1.921653
87,0.046684100,0.009873731,28.391692,6.005046
88,0.043643400,0.008051433,30.369783,5.602902
89,0.042377200,0.006480226,31.277210,4.783109
90,0.042351800,0.003822994,31.295969,2.825466
91,0.040834400,0.002666207,32.458922,2.119998
92,0.040557200,0.003238290,32.680772,2.609934
93,0.047312000,0.011942944,28.014893,7.071931
94,0.038520600,0.001074468,34.408618,0.961388
95,0.044514200,0.009109041,29.775681,6.093255
96,0.041630000,0.004734223,31.838592,3.621097
97,0.038796400,0.002135265,34.164010,1.881124
98,0.039202700,0.004320678,33.809931,3.726723
99,0.038924700,0.004211866,34.051402,3.684961
