threads,time_mean,time_std,speedup,speedup_std
1,0.095409400,0.000075045,1.000000,0.001112
2,0.070635300,0.000531399,1.350733,0.010217
3,0.049451300,0.000945810,1.929361,0.036932
4,0.039708500,0.001610452,2.402745,0.097466
5,0.032455800,0.001147778,2.939672,0.103985
6,0.027241100,0.000443935,3.502406,0.057143
7,0.023987900,0.001017844,3.977397,0.168796
8,0.021410300,0.000884370,4.456238,0.184102
9,0.019667300,0.000758917,4.851169,0.187235
10,0.018011700,0.000914728,5.297079,0.269046
11,0.016930900,0.000390002,5.635223,0.129883
12,0.015967100,0.000510215,5.975374,0.190996
13,0.015087700,0.000476648,6.323654,0.199838
14,0.014105500,0.000340323,6.763986,0.163281
15,0.013443900,0.000473966,7.096854,0.250262
16,0.012906300,0.000549391,7.392467,0.314734
17,0.012601200,0.000443213,7.571454,0.266372
18,0.012114400,0.000536739,7.875702,0.348995
19,0.011315300,0.000322801,8.431893,0.240635
20,0.011367500,0.000496076,8.393174,0.366337
21,0.011071400,0.000546780,8.617645,0.425651
22,0.010835100,0.000561932,8.805586,0.456729
23,0.010866500,0.000486435,8.780141,0.393100
24,0.010506200,0.000457110,9.081247,0.395177
25,0.010056400,0.000305564,9.487431,0.288373
26,0.010203200,0.000370141,9.350929,0.339303
27,0.010187300,0.000311037,9.365524,0.286042
28,0.009736700,0.000299567,9.798946,0.301581
29,0.009910300,0.000449366,9.627297,0.436600
30,0.009853800,0.000393979,9.682498,0.387205
31,0.009631400,0.000533687,9.906078,0.548963
32,0.009711800,0.000361594,9.824070,0.365856
33,0.009425000,0.000516788,10.123013,0.555118
34,0.009534500,0.000473840,10.006754,0.497372
35,0.009477300,0.000365991,10.067150,0.388850
36,0.009399100,0.000215697,10.150908,0.233086
37,0.009338800,0.000285171,10.216452,0.312074
38,0.009349500,0.000310470,10.204760,0.338966
39,0.009004400,0.000338008,10.595864,0.397835
40,0.009100700,0.000252982,10.483743,0.291544
41,0.008981400,0.000292423,10.622999,0.345972
42,0.009015000,0.000213771,10.583405,0.251100
43,0.009084000,0.000195774,10.503016,0.226507
44,0.009051700,0.000205873,10.540495,0.239877
45,0.009020200,0.000334306,10.577304,0.392103
46,0.009006300,0.000263600,10.593629,0.310171
47,0.009005400,0.000302289,10.594688,0.355736
48,0.008909800,0.000256089,10.708366,0.307900
49,0.009073800,0.000201664,10.514823,0.233837
50,0.008952900,0.000214664,10.656815,0.255656
51,0.008995300,0.000214741,10.606583,0.253344
52,0.008881600,0.000127062,10.742366,0.153914
53,0.009018200,0.000197780,10.579650,0.232173
54,0.008818400,0.000127558,10.819355,0.156734
55,0.010060000,0.003534249,9.484036,3.331911
56,0.008909700,0.000208120,10.708486,0.250279
57,0.008806600,0.000167803,10.833852,0.206606
58,0.008871400,0.000184961,10.754717,0.224387
59,0.009206700,0.000981729,10.363040,1.105062
60,0.008921900,0.000142617,10.693843,0.171149
61,0.008871700,0.000147845,10.754354,0.179418
62,0.008887000,0.000123031,10.735839,0.148866
63,0.008886300,0.000144542,10.736685,0.174844
64,0.008883500,0.000140332,10.740069,0.169870
65,0.008852700,0.000138689,10.777435,0.169055
66,0.008909600,0.000121019,10.708606,0.145699
67,0.008852700,0.000101451,10.777435,0.123798
68,0.008827700,0.000104085,10.807957,0.127718
69,0.008855000,0.000077151,10.774636,0.094258
70,0.008878600,0.000121835,10.745996,0.147702
71,0.008817700,0.000078736,10.820214,0.096991
72,0.008791900,0.000042168,10.851966,0.052743
73,0.010563400,0.000759380,9.032073,0.649335
74,0.011266600,0.000513732,8.468340,0.386195
75,0.011607400,0.001026992,8.219705,0.727286
76,0.013732500,0.000884305,6.947708,0.447431
77,0.013267600,0.001010911,7.191157,0.547952
78,0.013251100,0.000684452,7.200112,0.371946
79,0.013027100,0.001164296,7.323917,0.654600
80,0.013518400,0.001103627,7.057744,0.576213
81,0.013397100,0.000978678,7.121646,0.520277
82,0.013608000,0.000874116,7.011273,0.450406
83,0.020208200,0.021404179,4.721321,5.000744
84,0.013778100,0.000896692,6.924714,0.450700
85,0.014203900,0.001176036,6.717127,0.556181
86,0.013890100,0.000410710,6.868878,0.203175
87,0.014376200,0.001325416,6.636622,0.611886
88,0.014819900,0.001925202,6.437925,0.836344
89,0.015146500,0.001721670,6.299105,0.716023
90,0.014073400,0.000305485,6.779414,0.147254
91,0.015509000,0.001826708,6.151873,0.724607
92,0.015596000,0.001985639,6.117556,0.778885
93,0.015354200,0.001647564,6.213896,0.666792
94,0.016161800,0.001668448,5.903389,0.609449
95,0.015582800,0.001549249,6.122738,0.608744
96,0.015676900,0.001573431,6.085986,0.610846
97,0.015460000,0.001188210,6.171371,0.474338
98,0.015835900,0.001523352,6.024880,0.579589
99,0.015237900,0.000988866,6.261322,0.406359
