threads,time_mean,time_std,speedup,speedup_std
1,0.054062800,0.000090773,1.000000,0.002375
2,0.027346500,0.000107808,1.976955,0.008471
3,0.018281600,0.000076968,2.957225,0.013404
4,0.013808700,0.000066498,3.915126,0.019967
5,0.011070300,0.000049654,4.883589,0.023389
6,0.009275200,0.000042287,5.828748,0.028319
7,0.007965200,0.000054855,6.787375,0.048113
8,0.006973300,0.000057331,7.752829,0.065056
9,0.006195900,0.000036296,8.725577,0.053174
10,0.005583400,0.000021686,9.682774,0.040971
11,0.005077300,0.000045840,10.647943,0.097783
12,0.004670400,0.000044994,11.575625,0.113200
13,0.004317500,0.000044960,12.521783,0.132078
14,0.003989700,0.000021302,13.550593,0.075844
15,0.003757600,0.000057579,14.387588,0.221787
16,0.003521600,0.000023061,15.351772,0.103783
17,0.003316900,0.000020851,16.299195,0.106054
18,0.003156400,0.000033689,17.127994,0.185058
19,0.003067900,0.000323477,17.622087,1.858295
20,0.002868900,0.000056268,18.844435,0.370950
21,0.002722400,0.000046762,19.858507,0.342733
22,0.002633600,0.000034632,20.528098,0.272138
23,0.002509800,0.000046554,21.540681,0.401191
24,0.002440300,0.000045935,22.154161,0.418673
25,0.002346700,0.000058701,23.037798,0.577569
26,0.002293100,0.000055423,23.576294,0.571195
27,0.002178800,0.000027575,24.813108,0.316791
28,0.002138800,0.000049457,25.277165,0.586036
29,0.002091600,0.000051634,25.847581,0.639554
30,0.002024400,0.000054136,26.705592,0.715561
31,0.001977200,0.000054794,27.343111,0.759149
32,0.001911600,0.000023018,28.281440,0.343836
33,0.001921000,0.000029818,28.143050,0.439388
34,0.001884600,0.000074354,28.686618,1.132808
35,0.001894600,0.000210605,28.535205,3.172347
36,0.001803700,0.000074412,29.973277,1.237575
37,0.001843600,0.000076334,29.324582,1.215184
38,0.001775700,0.000079915,30.445909,1.371170
39,0.001690400,0.000026133,31.982253,0.497342
40,0.001693200,0.000064606,31.929365,1.219484
41,0.001672900,0.000074847,32.316815,1.446904
42,0.001660800,0.000029623,32.552264,0.583184
43,0.001663500,0.000070587,32.499429,1.380118
44,0.001602900,0.000045798,33.728118,0.965336
45,0.001566900,0.000024374,34.503031,0.539835
46,0.001574500,0.000067579,34.336488,1.474885
47,0.001596400,0.000037607,33.865447,0.799799
48,0.001668900,0.000359161,32.394272,6.971730
49,0.001592900,0.000200086,33.939858,4.263601
50,0.001521400,0.000049958,35.534902,1.168384
51,0.001477400,0.000037515,36.593204,0.931226
52,0.001523000,0.000060391,35.497571,1.408842
53,0.001490600,0.000026978,36.269153,0.659249
54,0.001454500,0.000035775,37.169337,0.916342
55,0.001467800,0.000071254,36.832538,1.789084
56,0.001471700,0.000101019,36.734932,2.522285
57,0.001465000,0.000024658,36.902935,0.624202
58,0.001542400,0.000172199,35.051089,3.913670
59,0.001485200,0.000063601,36.401023,1.560002
60,0.001513400,0.000084987,35.722743,2.006944
61,0.001485800,0.000055577,36.386324,1.362426
62,0.001414800,0.000031741,38.212327,0.859699
63,0.001420200,0.000063538,38.067033,1.704269
64,0.001412500,0.000049762,38.274549,1.349938
65,0.001446200,0.000107399,37.382658,2.776863
66,0.001484100,0.000065155,36.428004,1.600439
67,0.001482900,0.000099201,36.457482,2.439642
68,0.001488000,0.000048596,36.332527,1.188133
69,0.001480400,0.000095671,36.519049,2.360843
70,0.001499900,0.000061834,36.044270,1.487170
71,0.001464000,0.000096036,36.928142,2.423216
72,0.001442600,0.000104029,37.475946,2.703205
73,0.002078700,0.000094518,26.007986,1.183377
74,0.002283900,0.000218199,23.671264,2.261856
75,0.002309400,0.000290306,23.409890,2.943036
76,0.002398800,0.000259444,22.537435,2.437849
77,0.002308400,0.000316324,23.420031,3.209525
78,0.002406200,0.000288819,22.468124,2.697135
79,0.002334300,0.000220739,23.160176,2.190449
80,0.002376800,0.000273590,22.746045,2.618547
81,0.002317800,0.000217386,23.325050,2.188006
82,0.002392100,0.000173704,22.600560,1.641592
83,0.002299600,0.000106392,23.509654,1.088396
84,0.002331500,0.000167515,23.187991,1.666483
85,0.002389200,0.000095950,22.627993,0.909531
86,0.002106400,0.000377794,25.665970,4.603529
87,0.002290200,0.000240490,23.606148,2.479160
88,0.002336900,0.000097261,23.134409,0.963627
89,0.002550300,0.000780180,21.198604,6.485108
90,0.002227100,0.000189035,24.274976,2.060852
91,0.002432100,0.000795049,22.228856,7.266667
92,0.002215600,0.000215084,24.400975,2.369125
93,0.002233300,0.000143008,24.207585,1.550653
94,0.002248900,0.000069584,24.039664,0.744910
95,0.002238600,0.000070235,24.150272,0.758786
96,0.002062500,0.000255407,26.212267,3.246260
97,0.002174700,0.000083732,24.859889,0.958090
98,0.002374000,0.000530431,22.772873,5.088370
99,0.002116900,0.000091928,25.538665,1.109865
