n,cutoff,compiler,threads,seconds,stddev,runs
32,-1,gcc,1,0.527452,0.0029287155034246706,5
32,-1,gcc,2,1.1179988,0.023267604146108376,5
32,-1,gcc,3,1.6344934,0.10292528941081486,5
32,-1,gcc,4,1.9291262,0.20067908215780728,5
32,-1,gcc,5,2.2441688,0.09630885019145437,5
32,-1,gcc,6,2.5258621999999997,0.16341368623282446,5
32,-1,gcc,7,2.7154888,0.1391821803867148,5
32,-1,gcc,8,2.7594342,0.06221351442170751,5
32,-1,gcc,9,2.9556948,0.1163982066751889,5
32,-1,gcc,10,3.0714182,0.13901456659897185,5
32,-1,clang,1,0.3288392,0.00461495847218587,5
32,-1,clang,2,0.253943,0.0008868700581257615,5
32,-1,clang,3,0.2004438,0.010810002090656601,5
32,-1,clang,4,0.1868318,0.00516757759496652,5
32,-1,clang,5,0.1559324,0.006393849138038842,5
32,-1,clang,6,0.1311522,0.0028303999187394052,5
32,-1,clang,7,0.116921,0.00543989356513526,5
32,-1,clang,8,0.107112,0.005743916216310964,5
32,-1,clang,9,0.1338116,0.02715481185351871,5
32,-1,clang,10,0.1432864,0.026421070139190046,5
